VocabularyEN,ExampleSentences,ExampleSentencesCH,Synonym,SynonymCH
approach,approach例句测试1,approach例句测试翻译1,approach同义词测试1,approach同义词测试翻译1
approach,approach例句测试2,approach例句测试翻译2,approach同义词测试2,approach同义词测试翻译2
approbation,approbation例句测试1,approbation例句测试翻译1,approbation同义词测试1,approbation同义词测试翻译1
approbation,approbation例句测试2,approbation例句测试翻译2,approbation同义词测试2,approbation同义词测试翻译2
appropriate,appropriate例句测试1,appropriate例句测试翻译1,appropriate同义词测试1,appropriate同义词测试翻译1
appropriate,appropriate例句测试2,appropriate例句测试翻译2,appropriate同义词测试2,appropriate同义词测试翻译2
approval,approval例句测试1,approval例句测试翻译1,approval同义词测试1,approval同义词测试翻译1
approval,approval例句测试2,approval例句测试翻译2,approval同义词测试2,approval同义词测试翻译2
approve,approve例句测试1,approve例句测试翻译1,approve同义词测试1,approve同义词测试翻译1
approve,approve例句测试2,approve例句测试翻译2,approve同义词测试2,approve同义词测试翻译2
approximate,approximate例句测试1,approximate例句测试翻译1,approximate同义词测试1,approximate同义词测试翻译1
approximate,approximate例句测试2,approximate例句测试翻译2,approximate同义词测试2,approximate同义词测试翻译2
apron,apron例句测试1,apron例句测试翻译1,apron同义词测试1,apron同义词测试翻译1
apron,apron例句测试2,apron例句测试翻译2,apron同义词测试2,apron同义词测试翻译2
apropos,apropos例句测试1,apropos例句测试翻译1,apropos同义词测试1,apropos同义词测试翻译1
apropos,apropos例句测试2,apropos例句测试翻译2,apropos同义词测试2,apropos同义词测试翻译2
apt,apt例句测试1,apt例句测试翻译1,apt同义词测试1,apt同义词测试翻译1
apt,apt例句测试2,apt例句测试翻译2,apt同义词测试2,apt同义词测试翻译2
aptitude,aptitude例句测试1,aptitude例句测试翻译1,aptitude同义词测试1,aptitude同义词测试翻译1
aptitude,aptitude例句测试2,aptitude例句测试翻译2,aptitude同义词测试2,aptitude同义词测试翻译2
aquatic,aquatic例句测试1,aquatic例句测试翻译1,aquatic同义词测试1,aquatic同义词测试翻译1
aquatic,aquatic例句测试2,aquatic例句测试翻译2,aquatic同义词测试2,aquatic同义词测试翻译2
aqueduct,aqueduct例句测试1,aqueduct例句测试翻译1,aqueduct同义词测试1,aqueduct同义词测试翻译1
aqueduct,aqueduct例句测试2,aqueduct例句测试翻译2,aqueduct同义词测试2,aqueduct同义词测试翻译2
aquifer,aquifer例句测试1,aquifer例句测试翻译1,aquifer同义词测试1,aquifer同义词测试翻译1
aquifer,aquifer例句测试2,aquifer例句测试翻译2,aquifer同义词测试2,aquifer同义词测试翻译2
arabesque,arabesque例句测试1,arabesque例句测试翻译1,arabesque同义词测试1,arabesque同义词测试翻译1
arabesque,arabesque例句测试2,arabesque例句测试翻译2,arabesque同义词测试2,arabesque同义词测试翻译2
Arabian,Arabian例句测试1,Arabian例句测试翻译1,Arabian同义词测试1,Arabian同义词测试翻译1
Arabian,Arabian例句测试2,Arabian例句测试翻译2,Arabian同义词测试2,Arabian同义词测试翻译2
arable,arable例句测试1,arable例句测试翻译1,arable同义词测试1,arable同义词测试翻译1
arable,arable例句测试2,arable例句测试翻译2,arable同义词测试2,arable同义词测试翻译2
arbiter,arbiter例句测试1,arbiter例句测试翻译1,arbiter同义词测试1,arbiter同义词测试翻译1
arbiter,arbiter例句测试2,arbiter例句测试翻译2,arbiter同义词测试2,arbiter同义词测试翻译2
arbitrary,arbitrary例句测试1,arbitrary例句测试翻译1,arbitrary同义词测试1,arbitrary同义词测试翻译1
arbitrary,arbitrary例句测试2,arbitrary例句测试翻译2,arbitrary同义词测试2,arbitrary同义词测试翻译2
arbitrate,arbitrate例句测试1,arbitrate例句测试翻译1,arbitrate同义词测试1,arbitrate同义词测试翻译1
arbitrate,arbitrate例句测试2,arbitrate例句测试翻译2,arbitrate同义词测试2,arbitrate同义词测试翻译2
arbitration,arbitration例句测试1,arbitration例句测试翻译1,arbitration同义词测试1,arbitration同义词测试翻译1
arbitration,arbitration例句测试2,arbitration例句测试翻译2,arbitration同义词测试2,arbitration同义词测试翻译2
arbitrator,arbitrator例句测试1,arbitrator例句测试翻译1,arbitrator同义词测试1,arbitrator同义词测试翻译1
arbitrator,arbitrator例句测试2,arbitrator例句测试翻译2,arbitrator同义词测试2,arbitrator同义词测试翻译2
arboreal,arboreal例句测试1,arboreal例句测试翻译1,arboreal同义词测试1,arboreal同义词测试翻译1
arboreal,arboreal例句测试2,arboreal例句测试翻译2,arboreal同义词测试2,arboreal同义词测试翻译2
arboretum,arboretum例句测试1,arboretum例句测试翻译1,arboretum同义词测试1,arboretum同义词测试翻译1
arboretum,arboretum例句测试2,arboretum例句测试翻译2,arboretum同义词测试2,arboretum同义词测试翻译2
arcane,arcane例句测试1,arcane例句测试翻译1,arcane同义词测试1,arcane同义词测试翻译1
arcane,arcane例句测试2,arcane例句测试翻译2,arcane同义词测试2,arcane同义词测试翻译2
arch,arch例句测试1,arch例句测试翻译1,arch同义词测试1,arch同义词测试翻译1
arch,arch例句测试2,arch例句测试翻译2,arch同义词测试2,arch同义词测试翻译2
archaeology,archaeology例句测试1,archaeology例句测试翻译1,archaeology同义词测试1,archaeology同义词测试翻译1
archaeology,archaeology例句测试2,archaeology例句测试翻译2,archaeology同义词测试2,archaeology同义词测试翻译2
archaic,archaic例句测试1,archaic例句测试翻译1,archaic同义词测试1,archaic同义词测试翻译1
archaic,archaic例句测试2,archaic例句测试翻译2,archaic同义词测试2,archaic同义词测试翻译2
archetype,archetype例句测试1,archetype例句测试翻译1,archetype同义词测试1,archetype同义词测试翻译1
archetype,archetype例句测试2,archetype例句测试翻译2,archetype同义词测试2,archetype同义词测试翻译2
archipelago,archipelago例句测试1,archipelago例句测试翻译1,archipelago同义词测试1,archipelago同义词测试翻译1
archipelago,archipelago例句测试2,archipelago例句测试翻译2,archipelago同义词测试2,archipelago同义词测试翻译2
architect,architect例句测试1,architect例句测试翻译1,architect同义词测试1,architect同义词测试翻译1
architect,architect例句测试2,architect例句测试翻译2,architect同义词测试2,architect同义词测试翻译2
architecture,architecture例句测试1,architecture例句测试翻译1,architecture同义词测试1,architecture同义词测试翻译1
architecture,architecture例句测试2,architecture例句测试翻译2,architecture同义词测试2,architecture同义词测试翻译2
archive,archive例句测试1,archive例句测试翻译1,archive同义词测试1,archive同义词测试翻译1
archive,archive例句测试2,archive例句测试翻译2,archive同义词测试2,archive同义词测试翻译2
arctic,arctic例句测试1,arctic例句测试翻译1,arctic同义词测试1,arctic同义词测试翻译1
arctic,arctic例句测试2,arctic例句测试翻译2,arctic同义词测试2,arctic同义词测试翻译2
ardent,ardent例句测试1,ardent例句测试翻译1,ardent同义词测试1,ardent同义词测试翻译1
ardent,ardent例句测试2,ardent例句测试翻译2,ardent同义词测试2,ardent同义词测试翻译2
ardor,ardor例句测试1,ardor例句测试翻译1,ardor同义词测试1,ardor同义词测试翻译1
ardor,ardor例句测试2,ardor例句测试翻译2,ardor同义词测试2,ardor同义词测试翻译2
arduous,arduous例句测试1,arduous例句测试翻译1,arduous同义词测试1,arduous同义词测试翻译1
arduous,arduous例句测试2,arduous例句测试翻译2,arduous同义词测试2,arduous同义词测试翻译2
arena,arena例句测试1,arena例句测试翻译1,arena同义词测试1,arena同义词测试翻译1
arena,arena例句测试2,arena例句测试翻译2,arena同义词测试2,arena同义词测试翻译2
argot,argot例句测试1,argot例句测试翻译1,argot同义词测试1,argot同义词测试翻译1
argot,argot例句测试2,argot例句测试翻译2,argot同义词测试2,argot同义词测试翻译2
argue,argue例句测试1,argue例句测试翻译1,argue同义词测试1,argue同义词测试翻译1
argue,argue例句测试2,argue例句测试翻译2,argue同义词测试2,argue同义词测试翻译2
aria,aria例句测试1,aria例句测试翻译1,aria同义词测试1,aria同义词测试翻译1
aria,aria例句测试2,aria例句测试翻译2,aria同义词测试2,aria同义词测试翻译2
arid,arid例句测试1,arid例句测试翻译1,arid同义词测试1,arid同义词测试翻译1
arid,arid例句测试2,arid例句测试翻译2,arid同义词测试2,arid同义词测试翻译2
arise,arise例句测试1,arise例句测试翻译1,arise同义词测试1,arise同义词测试翻译1
arise,arise例句测试2,arise例句测试翻译2,arise同义词测试2,arise同义词测试翻译2
aristocracy,aristocracy例句测试1,aristocracy例句测试翻译1,aristocracy同义词测试1,aristocracy同义词测试翻译1
aristocracy,aristocracy例句测试2,aristocracy例句测试翻译2,aristocracy同义词测试2,aristocracy同义词测试翻译2
aristocrat,aristocrat例句测试1,aristocrat例句测试翻译1,aristocrat同义词测试1,aristocrat同义词测试翻译1
aristocrat,aristocrat例句测试2,aristocrat例句测试翻译2,aristocrat同义词测试2,aristocrat同义词测试翻译2
arithmetic,arithmetic例句测试1,arithmetic例句测试翻译1,arithmetic同义词测试1,arithmetic同义词测试翻译1
arithmetic,arithmetic例句测试2,arithmetic例句测试翻译2,arithmetic同义词测试2,arithmetic同义词测试翻译2
armada,armada例句测试1,armada例句测试翻译1,armada同义词测试1,armada同义词测试翻译1
armada,armada例句测试2,armada例句测试翻译2,armada同义词测试2,armada同义词测试翻译2
armament,armament例句测试1,armament例句测试翻译1,armament同义词测试1,armament同义词测试翻译1
armament,armament例句测试2,armament例句测试翻译2,armament同义词测试2,armament同义词测试翻译2
armistice,armistice例句测试1,armistice例句测试翻译1,armistice同义词测试1,armistice同义词测试翻译1
armistice,armistice例句测试2,armistice例句测试翻译2,armistice同义词测试2,armistice同义词测试翻译2
armor,armor例句测试1,armor例句测试翻译1,armor同义词测试1,armor同义词测试翻译1
armor,armor例句测试2,armor例句测试翻译2,armor同义词测试2,armor同义词测试翻译2
armory,armory例句测试1,armory例句测试翻译1,armory同义词测试1,armory同义词测试翻译1
armory,armory例句测试2,armory例句测试翻译2,armory同义词测试2,armory同义词测试翻译2
aroma,aroma例句测试1,aroma例句测试翻译1,aroma同义词测试1,aroma同义词测试翻译1
aroma,aroma例句测试2,aroma例句测试翻译2,aroma同义词测试2,aroma同义词测试翻译2
aromatic,aromatic例句测试1,aromatic例句测试翻译1,aromatic同义词测试1,aromatic同义词测试翻译1
aromatic,aromatic例句测试2,aromatic例句测试翻译2,aromatic同义词测试2,aromatic同义词测试翻译2
arouse,arouse例句测试1,arouse例句测试翻译1,arouse同义词测试1,arouse同义词测试翻译1
arouse,arouse例句测试2,arouse例句测试翻译2,arouse同义词测试2,arouse同义词测试翻译2
arrange,arrange例句测试1,arrange例句测试翻译1,arrange同义词测试1,arrange同义词测试翻译1
arrange,arrange例句测试2,arrange例句测试翻译2,arrange同义词测试2,arrange同义词测试翻译2
array,array例句测试1,array例句测试翻译1,array同义词测试1,array同义词测试翻译1
array,array例句测试2,array例句测试翻译2,array同义词测试2,array同义词测试翻译2
arrest,arrest例句测试1,arrest例句测试翻译1,arrest同义词测试1,arrest同义词测试翻译1
arrest,arrest例句测试2,arrest例句测试翻译2,arrest同义词测试2,arrest同义词测试翻译2
arresting,arresting例句测试1,arresting例句测试翻译1,arresting同义词测试1,arresting同义词测试翻译1
arresting,arresting例句测试2,arresting例句测试翻译2,arresting同义词测试2,arresting同义词测试翻译2
arrhythmic,arrhythmic例句测试1,arrhythmic例句测试翻译1,arrhythmic同义词测试1,arrhythmic同义词测试翻译1
arrhythmic,arrhythmic例句测试2,arrhythmic例句测试翻译2,arrhythmic同义词测试2,arrhythmic同义词测试翻译2
arrival,arrival例句测试1,arrival例句测试翻译1,arrival同义词测试1,arrival同义词测试翻译1
arrival,arrival例句测试2,arrival例句测试翻译2,arrival同义词测试2,arrival同义词测试翻译2
arrive,arrive例句测试1,arrive例句测试翻译1,arrive同义词测试1,arrive同义词测试翻译1
arrive,arrive例句测试2,arrive例句测试翻译2,arrive同义词测试2,arrive同义词测试翻译2
arrogance,arrogance例句测试1,arrogance例句测试翻译1,arrogance同义词测试1,arrogance同义词测试翻译1
arrogance,arrogance例句测试2,arrogance例句测试翻译2,arrogance同义词测试2,arrogance同义词测试翻译2
arrogant,arrogant例句测试1,arrogant例句测试翻译1,arrogant同义词测试1,arrogant同义词测试翻译1
arrogant,arrogant例句测试2,arrogant例句测试翻译2,arrogant同义词测试2,arrogant同义词测试翻译2
arrogate,arrogate例句测试1,arrogate例句测试翻译1,arrogate同义词测试1,arrogate同义词测试翻译1
arrogate,arrogate例句测试2,arrogate例句测试翻译2,arrogate同义词测试2,arrogate同义词测试翻译2
arrow,arrow例句测试1,arrow例句测试翻译1,arrow同义词测试1,arrow同义词测试翻译1
arrow,arrow例句测试2,arrow例句测试翻译2,arrow同义词测试2,arrow同义词测试翻译2
arroyo,arroyo例句测试1,arroyo例句测试翻译1,arroyo同义词测试1,arroyo同义词测试翻译1
arroyo,arroyo例句测试2,arroyo例句测试翻译2,arroyo同义词测试2,arroyo同义词测试翻译2
arsenal,arsenal例句测试1,arsenal例句测试翻译1,arsenal同义词测试1,arsenal同义词测试翻译1
arsenal,arsenal例句测试2,arsenal例句测试翻译2,arsenal同义词测试2,arsenal同义词测试翻译2
arson,arson例句测试1,arson例句测试翻译1,arson同义词测试1,arson同义词测试翻译1
arson,arson例句测试2,arson例句测试翻译2,arson同义词测试2,arson同义词测试翻译2
artery,artery例句测试1,artery例句测试翻译1,artery同义词测试1,artery同义词测试翻译1
artery,artery例句测试2,artery例句测试翻译2,artery同义词测试2,artery同义词测试翻译2
arthritis,arthritis例句测试1,arthritis例句测试翻译1,arthritis同义词测试1,arthritis同义词测试翻译1
arthritis,arthritis例句测试2,arthritis例句测试翻译2,arthritis同义词测试2,arthritis同义词测试翻译2
article,article例句测试1,article例句测试翻译1,article同义词测试1,article同义词测试翻译1
article,article例句测试2,article例句测试翻译2,article同义词测试2,article同义词测试翻译2
articulate,articulate例句测试1,articulate例句测试翻译1,articulate同义词测试1,articulate同义词测试翻译1
articulate,articulate例句测试2,articulate例句测试翻译2,articulate同义词测试2,articulate同义词测试翻译2
artifact,artifact例句测试1,artifact例句测试翻译1,artifact同义词测试1,artifact同义词测试翻译1
artifact,artifact例句测试2,artifact例句测试翻译2,artifact同义词测试2,artifact同义词测试翻译2
artifacts,artifacts例句测试1,artifacts例句测试翻译1,artifacts同义词测试1,artifacts同义词测试翻译1
artifacts,artifacts例句测试2,artifacts例句测试翻译2,artifacts同义词测试2,artifacts同义词测试翻译2
artifice,artifice例句测试1,artifice例句测试翻译1,artifice同义词测试1,artifice同义词测试翻译1
artifice,artifice例句测试2,artifice例句测试翻译2,artifice同义词测试2,artifice同义词测试翻译2
artificial,artificial例句测试1,artificial例句测试翻译1,artificial同义词测试1,artificial同义词测试翻译1
artificial,artificial例句测试2,artificial例句测试翻译2,artificial同义词测试2,artificial同义词测试翻译2
artistic,artistic例句测试1,artistic例句测试翻译1,artistic同义词测试1,artistic同义词测试翻译1
artistic,artistic例句测试2,artistic例句测试翻译2,artistic同义词测试2,artistic同义词测试翻译2
artistry,artistry例句测试1,artistry例句测试翻译1,artistry同义词测试1,artistry同义词测试翻译1
artistry,artistry例句测试2,artistry例句测试翻译2,artistry同义词测试2,artistry同义词测试翻译2
artless,artless例句测试1,artless例句测试翻译1,artless同义词测试1,artless同义词测试翻译1
artless,artless例句测试2,artless例句测试翻译2,artless同义词测试2,artless同义词测试翻译2
ascend,ascend例句测试1,ascend例句测试翻译1,ascend同义词测试1,ascend同义词测试翻译1
ascend,ascend例句测试2,ascend例句测试翻译2,ascend同义词测试2,ascend同义词测试翻译2
ascendancy,ascendancy例句测试1,ascendancy例句测试翻译1,ascendancy同义词测试1,ascendancy同义词测试翻译1
ascendancy,ascendancy例句测试2,ascendancy例句测试翻译2,ascendancy同义词测试2,ascendancy同义词测试翻译2
ascent,ascent例句测试1,ascent例句测试翻译1,ascent同义词测试1,ascent同义词测试翻译1
ascent,ascent例句测试2,ascent例句测试翻译2,ascent同义词测试2,ascent同义词测试翻译2
ascertain,ascertain例句测试1,ascertain例句测试翻译1,ascertain同义词测试1,ascertain同义词测试翻译1
ascertain,ascertain例句测试2,ascertain例句测试翻译2,ascertain同义词测试2,ascertain同义词测试翻译2
ascetic,ascetic例句测试1,ascetic例句测试翻译1,ascetic同义词测试1,ascetic同义词测试翻译1
ascetic,ascetic例句测试2,ascetic例句测试翻译2,ascetic同义词测试2,ascetic同义词测试翻译2
ascribe,ascribe例句测试1,ascribe例句测试翻译1,ascribe同义词测试1,ascribe同义词测试翻译1
ascribe,ascribe例句测试2,ascribe例句测试翻译2,ascribe同义词测试2,ascribe同义词测试翻译2
aseptic,aseptic例句测试1,aseptic例句测试翻译1,aseptic同义词测试1,aseptic同义词测试翻译1
aseptic,aseptic例句测试2,aseptic例句测试翻译2,aseptic同义词测试2,aseptic同义词测试翻译2
ash,ash例句测试1,ash例句测试翻译1,ash同义词测试1,ash同义词测试翻译1
ash,ash例句测试2,ash例句测试翻译2,ash同义词测试2,ash同义词测试翻译2
ashamed,ashamed例句测试1,ashamed例句测试翻译1,ashamed同义词测试1,ashamed同义词测试翻译1
ashamed,ashamed例句测试2,ashamed例句测试翻译2,ashamed同义词测试2,ashamed同义词测试翻译2
Asia,Asia例句测试1,Asia例句测试翻译1,Asia同义词测试1,Asia同义词测试翻译1
Asia,Asia例句测试2,Asia例句测试翻译2,Asia同义词测试2,Asia同义词测试翻译2
Asian,Asian例句测试1,Asian例句测试翻译1,Asian同义词测试1,Asian同义词测试翻译1
Asian,Asian例句测试2,Asian例句测试翻译2,Asian同义词测试2,Asian同义词测试翻译2
aside,aside例句测试1,aside例句测试翻译1,aside同义词测试1,aside同义词测试翻译1
aside,aside例句测试2,aside例句测试翻译2,aside同义词测试2,aside同义词测试翻译2
asparagus,asparagus例句测试1,asparagus例句测试翻译1,asparagus同义词测试1,asparagus同义词测试翻译1
asparagus,asparagus例句测试2,asparagus例句测试翻译2,asparagus同义词测试2,asparagus同义词测试翻译2
aspect,aspect例句测试1,aspect例句测试翻译1,aspect同义词测试1,aspect同义词测试翻译1
aspect,aspect例句测试2,aspect例句测试翻译2,aspect同义词测试2,aspect同义词测试翻译2
aspen,aspen例句测试1,aspen例句测试翻译1,aspen同义词测试1,aspen同义词测试翻译1
aspen,aspen例句测试2,aspen例句测试翻译2,aspen同义词测试2,aspen同义词测试翻译2
asperity,asperity例句测试1,asperity例句测试翻译1,asperity同义词测试1,asperity同义词测试翻译1
asperity,asperity例句测试2,asperity例句测试翻译2,asperity同义词测试2,asperity同义词测试翻译2
asperse,asperse例句测试1,asperse例句测试翻译1,asperse同义词测试1,asperse同义词测试翻译1
asperse,asperse例句测试2,asperse例句测试翻译2,asperse同义词测试2,asperse同义词测试翻译2
aspersion,aspersion例句测试1,aspersion例句测试翻译1,aspersion同义词测试1,aspersion同义词测试翻译1
aspersion,aspersion例句测试2,aspersion例句测试翻译2,aspersion同义词测试2,aspersion同义词测试翻译2
asphyxiate,asphyxiate例句测试1,asphyxiate例句测试翻译1,asphyxiate同义词测试1,asphyxiate同义词测试翻译1
asphyxiate,asphyxiate例句测试2,asphyxiate例句测试翻译2,asphyxiate同义词测试2,asphyxiate同义词测试翻译2
aspirant,aspirant例句测试1,aspirant例句测试翻译1,aspirant同义词测试1,aspirant同义词测试翻译1
aspirant,aspirant例句测试2,aspirant例句测试翻译2,aspirant同义词测试2,aspirant同义词测试翻译2
aspiration,aspiration例句测试1,aspiration例句测试翻译1,aspiration同义词测试1,aspiration同义词测试翻译1
aspiration,aspiration例句测试2,aspiration例句测试翻译2,aspiration同义词测试2,aspiration同义词测试翻译2
aspire,aspire例句测试1,aspire例句测试翻译1,aspire同义词测试1,aspire同义词测试翻译1
aspire,aspire例句测试2,aspire例句测试翻译2,aspire同义词测试2,aspire同义词测试翻译2
assail,assail例句测试1,assail例句测试翻译1,assail同义词测试1,assail同义词测试翻译1
assail,assail例句测试2,assail例句测试翻译2,assail同义词测试2,assail同义词测试翻译2
assassin,assassin例句测试1,assassin例句测试翻译1,assassin同义词测试1,assassin同义词测试翻译1
assassin,assassin例句测试2,assassin例句测试翻译2,assassin同义词测试2,assassin同义词测试翻译2
assassinate,assassinate例句测试1,assassinate例句测试翻译1,assassinate同义词测试1,assassinate同义词测试翻译1
assassinate,assassinate例句测试2,assassinate例句测试翻译2,assassinate同义词测试2,assassinate同义词测试翻译2
assault,assault例句测试1,assault例句测试翻译1,assault同义词测试1,assault同义词测试翻译1
assault,assault例句测试2,assault例句测试翻译2,assault同义词测试2,assault同义词测试翻译2
assay,assay例句测试1,assay例句测试翻译1,assay同义词测试1,assay同义词测试翻译1
assay,assay例句测试2,assay例句测试翻译2,assay同义词测试2,assay同义词测试翻译2
assemble,assemble例句测试1,assemble例句测试翻译1,assemble同义词测试1,assemble同义词测试翻译1
assemble,assemble例句测试2,assemble例句测试翻译2,assemble同义词测试2,assemble同义词测试翻译2
assembly,assembly例句测试1,assembly例句测试翻译1,assembly同义词测试1,assembly同义词测试翻译1
assembly,assembly例句测试2,assembly例句测试翻译2,assembly同义词测试2,assembly同义词测试翻译2
assent,assent例句测试1,assent例句测试翻译1,assent同义词测试1,assent同义词测试翻译1
assent,assent例句测试2,assent例句测试翻译2,assent同义词测试2,assent同义词测试翻译2
assert,assert例句测试1,assert例句测试翻译1,assert同义词测试1,assert同义词测试翻译1
assert,assert例句测试2,assert例句测试翻译2,assert同义词测试2,assert同义词测试翻译2
assertive,assertive例句测试1,assertive例句测试翻译1,assertive同义词测试1,assertive同义词测试翻译1
assertive,assertive例句测试2,assertive例句测试翻译2,assertive同义词测试2,assertive同义词测试翻译2
assertiveness,assertiveness例句测试1,assertiveness例句测试翻译1,assertiveness同义词测试1,assertiveness同义词测试翻译1
assertiveness,assertiveness例句测试2,assertiveness例句测试翻译2,assertiveness同义词测试2,assertiveness同义词测试翻译2
assess,assess例句测试1,assess例句测试翻译1,assess同义词测试1,assess同义词测试翻译1
assess,assess例句测试2,assess例句测试翻译2,assess同义词测试2,assess同义词测试翻译2
assessment,assessment例句测试1,assessment例句测试翻译1,assessment同义词测试1,assessment同义词测试翻译1
assessment,assessment例句测试2,assessment例句测试翻译2,assessment同义词测试2,assessment同义词测试翻译2
asset,asset例句测试1,asset例句测试翻译1,asset同义词测试1,asset同义词测试翻译1
asset,asset例句测试2,asset例句测试翻译2,asset同义词测试2,asset同义词测试翻译2
assiduous,assiduous例句测试1,assiduous例句测试翻译1,assiduous同义词测试1,assiduous同义词测试翻译1
assiduous,assiduous例句测试2,assiduous例句测试翻译2,assiduous同义词测试2,assiduous同义词测试翻译2
assign,assign例句测试1,assign例句测试翻译1,assign同义词测试1,assign同义词测试翻译1
assign,assign例句测试2,assign例句测试翻译2,assign同义词测试2,assign同义词测试翻译2
assignment,assignment例句测试1,assignment例句测试翻译1,assignment同义词测试1,assignment同义词测试翻译1
assignment,assignment例句测试2,assignment例句测试翻译2,assignment同义词测试2,assignment同义词测试翻译2
assimilate,assimilate例句测试1,assimilate例句测试翻译1,assimilate同义词测试1,assimilate同义词测试翻译1
assimilate,assimilate例句测试2,assimilate例句测试翻译2,assimilate同义词测试2,assimilate同义词测试翻译2
assist,assist例句测试1,assist例句测试翻译1,assist同义词测试1,assist同义词测试翻译1
assist,assist例句测试2,assist例句测试翻译2,assist同义词测试2,assist同义词测试翻译2
assistance,assistance例句测试1,assistance例句测试翻译1,assistance同义词测试1,assistance同义词测试翻译1
assistance,assistance例句测试2,assistance例句测试翻译2,assistance同义词测试2,assistance同义词测试翻译2
assistant,assistant例句测试1,assistant例句测试翻译1,assistant同义词测试1,assistant同义词测试翻译1
assistant,assistant例句测试2,assistant例句测试翻译2,assistant同义词测试2,assistant同义词测试翻译2
associate,associate例句测试1,associate例句测试翻译1,associate同义词测试1,associate同义词测试翻译1
associate,associate例句测试2,associate例句测试翻译2,associate同义词测试2,associate同义词测试翻译2
association,association例句测试1,association例句测试翻译1,association同义词测试1,association同义词测试翻译1
association,association例句测试2,association例句测试翻译2,association同义词测试2,association同义词测试翻译2
assorted,assorted例句测试1,assorted例句测试翻译1,assorted同义词测试1,assorted同义词测试翻译1
assorted,assorted例句测试2,assorted例句测试翻译2,assorted同义词测试2,assorted同义词测试翻译2
assuage,assuage例句测试1,assuage例句测试翻译1,assuage同义词测试1,assuage同义词测试翻译1
assuage,assuage例句测试2,assuage例句测试翻译2,assuage同义词测试2,assuage同义词测试翻译2
assume,assume例句测试1,assume例句测试翻译1,assume同义词测试1,assume同义词测试翻译1
assume,assume例句测试2,assume例句测试翻译2,assume同义词测试2,assume同义词测试翻译2
assumption,assumption例句测试1,assumption例句测试翻译1,assumption同义词测试1,assumption同义词测试翻译1
assumption,assumption例句测试2,assumption例句测试翻译2,assumption同义词测试2,assumption同义词测试翻译2
assure,assure例句测试1,assure例句测试翻译1,assure同义词测试1,assure同义词测试翻译1
assure,assure例句测试2,assure例句测试翻译2,assure同义词测试2,assure同义词测试翻译2
assured,assured例句测试1,assured例句测试翻译1,assured同义词测试1,assured同义词测试翻译1
assured,assured例句测试2,assured例句测试翻译2,assured同义词测试2,assured同义词测试翻译2
asterisk,asterisk例句测试1,asterisk例句测试翻译1,asterisk同义词测试1,asterisk同义词测试翻译1
asterisk,asterisk例句测试2,asterisk例句测试翻译2,asterisk同义词测试2,asterisk同义词测试翻译2
asteroid,asteroid例句测试1,asteroid例句测试翻译1,asteroid同义词测试1,asteroid同义词测试翻译1
asteroid,asteroid例句测试2,asteroid例句测试翻译2,asteroid同义词测试2,asteroid同义词测试翻译2
asthma,asthma例句测试1,asthma例句测试翻译1,asthma同义词测试1,asthma同义词测试翻译1
asthma,asthma例句测试2,asthma例句测试翻译2,asthma同义词测试2,asthma同义词测试翻译2
astonish,astonish例句测试1,astonish例句测试翻译1,astonish同义词测试1,astonish同义词测试翻译1
astonish,astonish例句测试2,astonish例句测试翻译2,astonish同义词测试2,astonish同义词测试翻译2
astonished,astonished例句测试1,astonished例句测试翻译1,astonished同义词测试1,astonished同义词测试翻译1
astonished,astonished例句测试2,astonished例句测试翻译2,astonished同义词测试2,astonished同义词测试翻译2
astound,astound例句测试1,astound例句测试翻译1,astound同义词测试1,astound同义词测试翻译1
astound,astound例句测试2,astound例句测试翻译2,astound同义词测试2,astound同义词测试翻译2
astray,astray例句测试1,astray例句测试翻译1,astray同义词测试1,astray同义词测试翻译1
astray,astray例句测试2,astray例句测试翻译2,astray同义词测试2,astray同义词测试翻译2
astringent,astringent例句测试1,astringent例句测试翻译1,astringent同义词测试1,astringent同义词测试翻译1
astringent,astringent例句测试2,astringent例句测试翻译2,astringent同义词测试2,astringent同义词测试翻译2
astrolabe,astrolabe例句测试1,astrolabe例句测试翻译1,astrolabe同义词测试1,astrolabe同义词测试翻译1
astrolabe,astrolabe例句测试2,astrolabe例句测试翻译2,astrolabe同义词测试2,astrolabe同义词测试翻译2
astrology,astrology例句测试1,astrology例句测试翻译1,astrology同义词测试1,astrology同义词测试翻译1
astrology,astrology例句测试2,astrology例句测试翻译2,astrology同义词测试2,astrology同义词测试翻译2
astronaut,astronaut例句测试1,astronaut例句测试翻译1,astronaut同义词测试1,astronaut同义词测试翻译1
astronaut,astronaut例句测试2,astronaut例句测试翻译2,astronaut同义词测试2,astronaut同义词测试翻译2
astronomical,astronomical例句测试1,astronomical例句测试翻译1,astronomical同义词测试1,astronomical同义词测试翻译1
astronomical,astronomical例句测试2,astronomical例句测试翻译2,astronomical同义词测试2,astronomical同义词测试翻译2
astronomy,astronomy例句测试1,astronomy例句测试翻译1,astronomy同义词测试1,astronomy同义词测试翻译1
astronomy,astronomy例句测试2,astronomy例句测试翻译2,astronomy同义词测试2,astronomy同义词测试翻译2
astute,astute例句测试1,astute例句测试翻译1,astute同义词测试1,astute同义词测试翻译1
astute,astute例句测试2,astute例句测试翻译2,astute同义词测试2,astute同义词测试翻译2
asunder,asunder例句测试1,asunder例句测试翻译1,asunder同义词测试1,asunder同义词测试翻译1
